title,info,km,year,color,brand,motor,Chassis,body,ensurance,gearbox,sale,description,link,FrontChassis,backChassis,price,expo,fair
پراید 132 SL دوگانه، مدل ۱۳۹۰,۳ روز پیش در تبریز | سواری و وانت,۳۸٬۰۰۰,۱۳۹۰,سفید,پراید 132 SL,سالم,سالم و پلمپ,رنگ‌شدگی، در چند ناحیه,۶ ماه,دنده‌ای,نقدی,"باسلام 
پراید 132دوگانه بیرون با مخزن بزرگ
ماشین تمامی لوازم هاشو عوض کردم در حد میباشد 
لاستیک جلو 80٪
لاستیک عقب100٪
باطری نو
کولر روشن 
بخاری تقویت شده 
چراغ زیر سپر هدلایت
شیشه دودی آمریکایی (۰-۵)u4
روغن موتور و گیربکس تازه عوض شده
موتور بدون 1 ریال خرجی
دارای (کف پوش)(زیرپایی سه بعدی) (ظبط سونی آمپلی خور بلوتوثی)
فروش به خاطر رفتن سربازی لطفا دلال تماس نگیرد
سند=تعویض پلاک (وکالتی به فروش نمیرود)
هرسوالی داشتین چت دیوار در خدمتم",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-132-sl-%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B0_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrCVoSD,,,,,
پراید 141 دوگانه سوز، مدل ۱۳۹۰,۳ روز پیش در تبریز | سواری و وانت,۳۳۳٬۲۲۲,۱۳۹۰,سفید,پراید 141 دوگانه سوز,سالم,,دوررنگ,۹ ماه,دنده‌ای,,فنی‌سالم‌هیدرولیک ‌Abs,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-141-%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D8%B3%D9%88%D8%B2-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B0_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYr-0iYJ,ضربه‌خورده,سالم و پلمپ,,,
پراید 141 ساده، مدل ۱۳۸۸,۳ روز پیش در تبریز | سواری و وانت,۱۶۱٬۰۰۰,۱۳۸۸,نوک‌مدادی,پراید 141 ساده,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,دنده‌ای,نقدی,فنی سالم تازه تعمیر شده جلو بندی صفحه دیسک,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-141-%D8%B3%D8%A7%D8%AF%D9%87-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B8_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYr-ETex,,,,,
پراید صندوق‌دار CNG، مدل ۱۳۸۷,۳ روز پیش در تبریز | سواری و وانت,۲۵۰٬۰۰۰,۱۳۸۷,سفید,پراید صندوق‌دار CNG,سالم,,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,,ماشین فوق موتور تازه تعمیر به همراه فاکتور...دوره رنگ...از جلو یک طرف زدگی خیلی جزعی دارد.شاسی سالم...سقف و ستون و پایه ها و کاپوتها بدون رنگه....سیدی و باند دارد....ماشین اسپرت و جوان پسند می‌باشد....,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-cng-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B7_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYr6kghA,ضربه‌خورده,سالم و پلمپ,,,
پراید صندوق‌دار بنزینی، مدل ۱۳۸۴,۳ روز پیش در تبریز | سواری و وانت,۲۹۶٬۰۰۰,۱۳۸۴,مشکی,پراید صندوق‌دار بنزینی,سالم,,خط و خش جزیی,۸ ماه,دنده‌ای,,"سلام خودروی فوق پراید صندوق دار بنزینی 
موتور تقویت 
شاسی جلو سمت شاگرد ضربه خورده ولی تایر خوردگی نداره ماشین 
طبق فاکتور بالغ بر ۱۱ملیون خرجش شده 
تقریبا ۳تومن دیگه خرج داره که اونم کم میکنم 
تاکید میکنم ماشین موتور و گیربکسش تقویت شده 
به علت سربازی به فروش میرسه 
به دلال محترم فروخته نمیشود 
قیمت مقطوع",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-%D8%A8%D9%86%D8%B2%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B4_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYryUbcc,ضربه‌خورده,سالم و پلمپ,,,
پراید 131 EX، مدل ۱۳۹۵,۳ روز پیش در تبریز | سواری و وانت,۱۰۰٬۰۰۰,۱۳۹۵,سفید,پراید 131 EX,سالم,,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,سلام پرایدمدل ۹۵دوره رنک جلوعقب سالم بدون خط وخش وجوان پسندبیمه یک سال تایرها۸۰درصدروکش صندلی زیرپای سبعدی وسیستم صوتی فول فروش بخاطرنیازمالی,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131-ex-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B5_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYryUOkR,,,توافقی,,
جک J3 هاچبک، مدل ۱۳۹۱,۳ روز پیش در تبریز | سواری و وانت,۲۰۴٬۰۰۰,۱۳۹۱,نقره‌ای,جک J3 هاچبک,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,"نقدی, قابل معاوضه","موتور میستوبیشی16سوپاپ مصرف 5
یه درب راننده رنگ
جلو پلمپ 
عقب ضربه جزیی داره
روکش نو
بیمه امروز زدم
تایرجلونو عقب 70
معاوضه با پراید د‌وگانه مدل 90به پایین
تاحدامکان لطفا دیوار پیام بدید",https://divar.ir/v/%D8%AC%DA%A9-j3-%D9%87%D8%A7%DA%86%D8%A8%DA%A9-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B1_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrWkw_x,,,,,
پراید 132 ساده، مدل ۱۳۸۹,۳ روز پیش در تبریز | سواری و وانت,۰,۱۳۸۹,سفید,پراید 132 ساده,سالم,سالم و پلمپ,رنگ‌شدگی، در چند ناحیه,۲ ماه,دنده‌ای,نقدی,باسلام خودروی فوق جلو عقب سالم فنی سالم فقط کلکیر جلو رنک داره کلن بدون رنک خودرو بدون ضبط میباشد فرمان ساده فقط تماس,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-132-%D8%B3%D8%A7%D8%AF%D9%87-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B9_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrKkDt-,,,,,
پراید صندوق‌دار بنزینی، مدل ۱۳۸۷,۳ روز پیش در تبریز | سواری و وانت,۲۳۰٬۰۰۰,۱۳۸۷,نوک‌مدادی,پراید صندوق‌دار بنزینی,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی,"سلام 
ماشین شاسی ها وسقف وستون پلمپه پلمپ به شرط کارشناس خودتون
سه تیکه رنگ داره
فنی سالم
سند دوبرگی
بیمه۵ماه
معاینه۱۰ماه
لاستیک۷۰درصد
ضبط ندارد",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-%D8%A8%D9%86%D8%B2%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B7_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrCULRP,,,,,
پراید صندوق‌دار CNG، مدل ۱۳۸۶,۳ روز پیش در تبریز | سواری و وانت,۰,۱۳۸۶,مشکی,پراید صندوق‌دار CNG,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی,"موتورشو ۳ روزه تعمیر اساسی کردم هنوز آب بندی نشده
شاسی ها پلمپ پلمپ بدون حتی یک خال جوش یا ضربه
چند تکه رنگ دارد که من به دور رنگ میدم
تایرها پنجاه درصد
داخل کابین ترو تمیز و بدون ذره ای صدا
هدلایت دارد
ضبط و باند دارد
روکش و کف
خودرو سر حال و بدون خرجی هست
به دلال و نمایشگاهی هم میفروشم
۷ سال اعتبار مخزن گاز
خودرو خانگی و کم کارکرد
بازدید شهرستان هریس",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-cng-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B6_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYr2zgvE,,,,,
پراید 132 ساده، مدل ۱۳۸۹,۳ روز پیش در تبریز | سواری و وانت,۲۵۰٬۰۰۰,۱۳۸۹,مشکی,پراید 132 ساده,سالم,سالم و پلمپ,دوررنگ,۳ ماه,دنده‌ای,نقدی,سلام ماشین کاملا سالم میباشد چند تیکه رنگ دارع اما دور رنگ میدم لاستیکها نو رینگ اسپرت ضبط فلشخور فرمان هیدرولیک چراغهای عقب وجلو نو تک گانه میباشد لامپ زنون,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-132-%D8%B3%D8%A7%D8%AF%D9%87-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B9_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYr-zlaV,,,,,
پراید 131 SE، مدل ۱۳۹۷,۳ روز پیش در تبریز | سواری و وانت,۴۴٬۲۰۰,۱۳۹۷,سفید,پراید 131 SE,سالم,سالم و پلمپ,خط و خش جزیی,,دنده‌ای,نقدی,"سلام
خودرو کارمندی بوده و بعلت خرید خودرو چندین ماه استفاده نشده
فروش فقط به مصرف کننده واقعی - تک برگ - بیمه تا چهارم تیر ماه وقت دارد (۲،۵۰۰،۰۰تومان)که از مبلغ فوق کسر میگردد. خرید = تعویض پلاک 
خودرو از لحاظ فنی و ظاهر سالم میباشد به شرط کارشناس شما 
عوارض و مالیات پرداخت شده آماده انتقال سند 
قیمت مقطوع میباشد لطفا به وقت همدیگر احترام بگذاریم",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131-se-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B7_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYr6zD_X,,,۱۵۷٬۰۰۰٬۰۰۰ تومان,,
پراید 131 SE، مدل ۱۳۹۴,۳ روز پیش در تبریز | سواری و وانت,۱۲۰٬۰۰۰,۱۳۹۴,سفید,پراید 131 SE,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,پراید۱۳۱مدل ۹۴ درحد صفر ماشین بدون هیچ عیب و ایراد خواهشن دلال تماس نگیره مشتری واقعی زنگ بزنه چتم جواب داده نمیشه,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131-se-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B4_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYr2jd-K,,,,,
پراید صندوق‌دار بنزینی، مدل ۱۳۸۴,۳ روز پیش در تبریز | سواری و وانت,۳۰۳٬۲۵۱,۱۳۸۴,اطلسی,پراید صندوق‌دار بنزینی,سالم,,خط و خش جزیی,۴ ماه,دنده‌ای,,"باسلام.عرض ادب.خودروفوق.ازلحاظ.فنی سالم وبدون ایرادمی باشد 
وضعیت لاستیکها۷۰درصد
۴ماه بیمه اش مانده
تمام تخفیف است 
دزدگیردارد 
تخفیف جزعی پایه معامله داده میشود
فقط تماس بگیرید
********میلیون",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-%D8%A8%D9%86%D8%B2%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B4_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYryDRW1,ضربه‌خورده,سالم و پلمپ,,,
پراید دوگانه سوز کارخانه مدل ۹۰,۳ روز پیش در تبریز | سواری و وانت,۳۵۰٬۰۰۰,۱۳۹۰,نقره‌ای,پراید 131 SL,سالم,,دوررنگ,۵ ماه,دنده‌ای,,فنی سالم دوررنگ,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D8%B3%D9%88%D8%B2-%DA%A9%D8%A7%D8%B1%D8%AE%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DB%B9%DB%B0_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrqDujd,ضربه‌خورده,سالم و پلمپ,,,
پراید 141 ساده، مدل ۱۳۸۳,۳ روز پیش در تبریز | سواری و وانت,۲۴۰٬۰۰۰,۱۳۸۳,نقره‌ای,پراید 141 ساده,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,دنده‌ای,نقدی,سلام ماشین بدون خرج بدون عیب و ایراد *********** ساعت تماس ۶ بعدازظهر ب بعدروزهای جمعه صبح تا شب دوستان محل بازدید چهارراه عباسی بعلت مشغله ب زنگ پاسخگو هستم,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-141-%D8%B3%D8%A7%D8%AF%D9%87-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B3_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYriz_L_,,,,,
پراید ۱۳۱ مدل ۹۶ بدون رنگ در حد صفر,۳ روز پیش در تبریز | سواری و وانت,۱۰۳٬۸۳۹,۱۳۹۶,سفید,پراید 131 SE,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی,سلام پراید ۱۳۱ بدون رنگ ، بی خط و خش ، در حد صفر ، کم کارکرد ، بیمه ۱۰ ماه ، ضبط فلش خور ، کفی یتیکه ، ۳ بعدی ، فنی در حد صفر ، تخفیف فقط در حد شیرینی ، توضیحات کامله لطفا فقط خریدار واقعی تماس بگیرد . یا علی,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%DB%B1%DB%B3%DB%B1-%D9%85%D8%AF%D9%84-%DB%B9%DB%B6-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%86%DA%AF-%D8%AF%D8%B1-%D8%AD%D8%AF-%D8%B5%D9%81%D8%B1_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYreDBKK,,,,,
پژو پارس دوگانه سوز، مدل ۱۳۸۶,۳ روز پیش در تبریز | سواری و وانت,۲۲۰٬۰۰۰,۱۳۸۶,نقره‌ای,پژو پارس دوگانه سوز,سالم,,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,,"باسلام پژوپارس مدل ٨٦دوگانه بیرون فنی درحد شاسی جلوسالم وپلمپ کمی فشار داره شاسی عقب ضربه خورده رنگ نقره ای بیمه شخص ثالث تابرج ٨معاینه فنی نو کابین بدون صدا فروش به علت نیاز مالی.قابل معاوضه با پژو٤٠٥،پژو٢٠٦،روآ،سمند،پراید خلاصه ماشین باقیمت کمتر که بتونم نیاز مالی رو برطرف کنم لطفا مشتری واقعی تماس بگیره
تخفیفزپای معامله ممنون ازعوامل زحمتکش دیوار",https://divar.ir/v/%D9%BE%DA%98%D9%88-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D8%B3%D9%88%D8%B2-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B6_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYreDBUd,سالم و پلمپ,ضربه‌خورده,,,
پراید صندوق‌دار CNG، مدل ۱۳۸۸,۳ روز پیش در تبریز | سواری و وانت,۲۰۰٬۰۰۰,۱۳۸۸,سفید,پراید صندوق‌دار CNG,سالم,سالم و پلمپ,دوررنگ,۱۰ ماه,دنده‌ای,نقدی,"باسلام
✅پراید ۸۸ 
✅جلو و عقب پلمپِ پلمپ
✅شتاب وحشی ( سربالا سرش نمیشه)
✅دوگانه بیرون
✅جلوبندی نو
✅شمع وایر نو
✅لوازم مصرفی نو
✅روکش
✅کفپوش چرمی
✅دزدگیر
✅فنی تضمینی سر حال و در حد صفر
بدنه هم بخاطر زیبایی رنگ کردم
ماشین بکری هست.
به علت مشغله کاری لطفا از ساعت ۱۶ تا ۲۱ شب تماس بگیرید.",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-cng-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B8_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrOTI5g,,,,,
پراید صندوق‌دار CNG، مدل ۱۳۸۴,۳ روز پیش در تبریز | سواری و وانت,۰,۱۳۸۴,نقره‌ای,پراید صندوق‌دار CNG,سالم,,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,,خودرو کاملا سالم,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-cng-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B4_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYr2yIOb,ضربه‌خورده,سالم و پلمپ,,,
پراید صندوق‌دار CNG، مدل ۱۳۸۲,۳ روز پیش در تبریز | سواری و وانت,۱۲۲٬۱۲۳,۱۳۸۲,آلبالویی,پراید صندوق‌دار CNG,سالم,سالم و پلمپ,دوررنگ,۶ ماه,دنده‌ای,نقدی,"باسلام
پراید ۸۲ دوگانه سوز زیر سقف رنگ موتور گیربگس سالم جلو عقب پلمپ لاستیک در حد نو فروش نقدی یا معاوضه با خودروی دیگر دوستان لطفا با دقت مطالعه کرده و تصمیم بگیرید وقت همو نگیریم بزدید در شهرک باغمعروف با تشکر",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-cng-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B2_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYruSmbj,,,,,
پراید 132 دوگانه سوز، مدل ۱۳۹۳,۳ روز پیش در تبریز | سواری و وانت,۰,۱۳۹۳,سفید,پراید 132 دوگانه سوز,سالم,,دوررنگ,۷ ماه,دنده‌ای,,تخفیف پای معامله با این شماره تماس بگیرید*********** لطفا با این شماره تماس بگیرید,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-132-%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D8%B3%D9%88%D8%B2-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B3_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrqincT,ضربه‌خورده,سالم و پلمپ,,,
پراید صندوق‌دار CNG، مدل ۱۳۸۹,۳ روز پیش در تبریز | سواری و وانت,۳۲٬۰۰۰,۱۳۸۹,نقره‌ای,پراید صندوق‌دار CNG,سالم,سالم و پلمپ,دوررنگ,۷ ماه,دنده‌ای,نقدی و قسطی,"پراید ۱۳۱ تیپ GTXI مدل ۱۳۸۹
دوگانه cng بیرون 
نقره ای 
دوره رنگ 
جلو عقب سالم 
سقف و ستون بکر بدون رنگ و تصادف
سند بنام 
کف پوش سه بعدی
دزد گیر فعال 
کارت سوخت فعال 
معاینه فنی دارد
روکش صندلی دارد
ضبط و باند فعال. 
بیمه ۷ ماه 
قیمت مقطوع تخفیف در حد شیرینی. 
مشتری واقعی تماس بگیرد. با تشکر از دیوار",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-cng-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B9_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYreSTvl,,,,,
پراید 141 دوگانه سوز، مدل ۱۳۸۶,۳ روز پیش در تبریز | سواری و وانت,۲۷۲٬۰۰۰,۱۳۸۶,بژ,پراید 141 دوگانه سوز,سالم,سالم و پلمپ,دوررنگ,۶ ماه,دنده‌ای,نقدی,ماشین فوق سالم دور رنگ موتور تعویض سال ۹۷چراغ ها جدید و لامپ هدلایت,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-141-%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D8%B3%D9%88%D8%B2-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B6_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYoSauJY,,,,,
پراید صندوق‌دار CNG، مدل ۱۳۸۸,۳ روز پیش در تبریز | سواری و وانت,۳۸۵٬۰۰۰,۱۳۸۸,نقره‌ای,پراید صندوق‌دار CNG,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,دنده‌ای,نقدی,"پراید دوگانه کارخانه تک برگ سند فنی سواری در حد صفر.روکش نوو جلو عقب پلمپ پلمپ بدون نقطه 
سوار شی میفهمین",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-cng-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B8_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrSiiYY,,,,,
