title,info,area,year,room,elevator,parking,warehouse,deposit,rent,status,for,use-case,floor,description,advertiser,balcony,area2
اپارتمان ۸۶ فاز ۴ مجتمع نیلوفر ۱,یک ربع پیش در تبریز | اجاره آپارتمان,۸۶,۱۳۹۹,۲,آسانسور,پارکینگ,انباری ندارد,۶۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,شخصی,۱,"با سلام این اپارتمان در طبقه یک دا ای آسانسور و نگهبانی ۲۴ ساعته و پارکینگ محوطه فول امکانات و نزدیک مراکز خرید و مدرسه و نزدیک خیابان اصلی
 هست با همسایگان محترم و با فرهنگ و برای هماهنگی با این شما ه تماس حاصل فرمایید ۰۹۹۳۲۳۴۳۴۷۷",,,
آپارتمان ۱۳۰ متر ولیعصر,یک ربع پیش در تبریز | اجاره آپارتمان,۱۳۰,۱۳۸۵,۳,آسانسور,پارکینگ ندارد,انباری,۱۰۰٬۰۰۰٬۰۰۰ تومان,۸٬۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده و مجرد,مشاور املاک,۵ از ۱۰,واحد در بهترین لوکیشن ولیعصر,,,
اجاره پارکینگ محوطه در شهرک اندیشه نیروی هوایی ۷,یک ربع پیش در تبریز | اجاره آپارتمان,۱۳,۱۳۹۲,بدون اتاق,آسانسور ندارد,پارکینگ,انباری ندارد,۱٬۰۰۰٬۰۰۰ تومان,۲۵۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,همکف,پارکینگ محوطه به اجاره داده مشود در شهرک اندیشه نیروی هوایی ۷ اجاره پارکینگ,,,
اپارتمان ۱۳۰متر فرشته جنوبی,نیم ساعت پیش در تبریز | اجاره آپارتمان,۱۳۰,۱۳۹۴,۳,آسانسور,پارکینگ,انباری,۱۰۰٬۰۰۰٬۰۰۰ تومان,۷٬۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,مشاور املاک,۱ از ۴,اپارتمان دو نبش فرشته جنوبی با تمامی امکانات,,,
آپارتمان ،100متر،زعفرانیه مجتمع ایدم,نیم ساعت پیش در تبریز | اجاره آپارتمان,۱۰۰,۱۳۷۷,۲,آسانسور,پارکینگ,انباری,۴۵٬۰۰۰٬۰۰۰ تومان,۴٬۱۵۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده و مجرد,شخصی,۲ از ۲,"تمیز و بی سر و صدا

بلوک Bمجتمع ایدم (سهند ایدم)

چت ده اله روخ",,,
اپارتمان ۸۶ متر سهند فاز ۴,نیم ساعت پیش در تبریز | اجاره آپارتمان,۸۶,۱۳۹۸,۲,آسانسور,پارکینگ ندارد,انباری ندارد,۶۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,شخصی,۱,با سلام این اپارتمان در سهند فاز ۴ مجتمع نیلوفر نزدیک خیابان اصلی و مراکز خرید دارای نگهبان ۲۴ ساعته با همسایگان محترم و با فرهنگ لطفا برای هماهنگی با این شماره تماس حاصل فرمایید ۰۹۹۳۲۳۴۳۴۷۷,,,
140متر رشدیه,نیم ساعت پیش در تبریز | اجاره آپارتمان,۱۴۰,۱۳۸۹,۲,آسانسور,پارکینگ,انباری,۴۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده و مجرد,,۳,"✔یک واحد آپارتمان دو کله شخصی ساز
✔دو واحدی ، بالکن دلباز ، دو خواب بزرگ 
✔سالن پذیرایی بزرگ ، کف پارکت ، کاغذ دیواری
✔محیطی بسیار آرام و دنج کلا چهار طبقه
✔مبلغ تا ۳۵۰ رهن ۲ اجاره قابل تبدیل میباشد
☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆
 ⚜رشدیه خیابان بوستان املاک سفیر⚜",,,
سردرود,۱ ساعت پیش در تبریز | اجاره خانه و ویلا,۱۰۰,۱۴۰۰,۱,,پارکینگ ندارد,انباری ندارد,۱۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,شخصی,,دارای کابینت و کمد دیواری,بالکن ندارد,۱۰۰,
آپارتمان، شهرک نور مجتمع پامچال,۱ ساعت پیش در تبریز، کوی لاله (کوی لاله) | اجاره آپارتمان,۹۴,۱۳۸۰,۲,آسانسور ندارد,پارکینگ,انباری,۵۰٬۰۰۰٬۰۰۰ تومان,۳٬۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۱,"کاملا بازسازی شده 
همه چیز نو
۹۴ متر
مناسب برای عروس داماد
 دید منظره ی عالی",,,
باغ در شبستر وایقان ۶۷۰ متر,۱ ساعت پیش در تبریز | اجاره خانه و ویلا,۶۷۰,۱۳۹۹,۱,,پارکینگ,انباری,توافقی,توافقی,غیر قابل تبدیل,خانواده,شخصی,,سلام باغ به متراژ ۶۷۰ متر برق روشنایی استخر خانه باغ ۴۰ متر درختان ۳ ساله لطفا به این شماره تماس بگیرید ۰۹۱۴۴۱۴۴۹۰۶,بالکن,۶۷۰,
آپارتمان 130متر سه خوابه برج مبین گلکار,۱ ساعت پیش در تبریز، بلوار گلکار (بلوار شهریار) | اجاره آپارتمان,۱۳۰,۱۳۹۲,۳,آسانسور,پارکینگ,انباری,۱۵۰٬۰۰۰٬۰۰۰ تومان,۵٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,۷,واحد مذکور واقع در برج مبین در سه راهی گلکار دارای نگهبانی،انباری و سایر امکانات با دسترسی آسان به تمام نقاط شهر،لطفا از طرق چت دیوار و چت هماهنگ کنید،لطفا املاک محترم تماس نگیرند،واحد مذبور از تیر ماه قابل تحویل می باشد,,,
آپارتمان 70متردوخوابه سهند فاز2,۱ ساعت پیش در تبریز | اجاره آپارتمان,۷۰,۱۳۹۳,۲,آسانسور,پارکینگ,انباری,۳۰٬۰۰۰٬۰۰۰ تومان,۱٬۲۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,مشاور املاک,۲ از ۴,آپارتمان 70متردوخوابه سهند فاز2 مجتمع سبلان 1طبقه2میانی دارای کمدوکابینت، دوخوابه، دارای تراس، پکیج ورادیاتور، کف موکت، پرده، پارکینگ محوطه مجتمع، نزدیک به خیابان اصلی و اتوبان جدید و کتابخانه وباشگاه ورزشی، مراکز درمانی و خرید ومدرسه، بهترین موقعیت قرار دارد، روبروی کتابخانه شهیدقاسم سلیمانی,,,
خانه ۴۵متری در سردرود,۲ ساعت پیش در تبریز | اجاره خانه و ویلا,۴۵,۱۳۹۴,۱,,پارکینگ ندارد,انباری,۲۰٬۰۰۰٬۰۰۰ تومان,۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,,باسلام خانه ۴۵متری درسردرود محله سلطان پیر با امتیازات کامل اب برق گاز تلفن,بالکن ندارد,۴۵,
